id,duration,start_date,start_station,end_date,end_station,bike_number,sub_type,zip_code,birth_date,gender
204,1263,"2011-07-28 17:18:00",46,"2011-07-28 17:39:00",46,B00429,Casual,"","",""
205,536,"2011-07-28 17:18:00",34,"2011-07-28 17:27:00",36,B00279,Registered,"'02143",1969.0,Male
206,830,"2011-07-28 17:20:00",33,"2011-07-28 17:34:00",32,B00536,Casual,"","",""
207,909,"2011-07-28 17:20:00",32,"2011-07-28 17:35:00",27,B00189,Registered,"'02131",1967.0,Male
208,2174,"2011-07-28 17:23:00",38,"2011-07-28 17:59:00",38,B00464,Casual,"","",""
209,2156,"2011-07-28 17:24:00",38,"2011-07-28 17:59:00",38,B00013,Casual,"","",""
210,669,"2011-07-28 17:26:00",34,"2011-07-28 17:37:00",12,B00001,Casual,"","",""
211,227,"2011-07-28 17:27:00",35,"2011-07-28 17:31:00",44,B00136,Casual,"","",""
212,690,"2011-07-28 17:28:00",3,"2011-07-28 17:39:00",12,B00463,Registered,"'02131",1953.0,Male
213,1195,"2011-07-28 17:29:00",40,"2011-07-28 17:49:00",24,B00358,Casual,"","",""
214,4976,"2011-07-28 17:33:00",44,"2011-07-28 18:56:00",15,B00156,Casual,"","",""
215,1386,"2011-07-28 17:35:00",40,"2011-07-28 17:58:00",40,B00488,Casual,"","",""
216,1395,"2011-07-28 17:35:00",40,"2011-07-28 17:58:00",40,B00552,Casual,"","",""
217,762,"2011-07-28 17:34:00",25,"2011-07-28 17:47:00",42,B00340,Registered,"'02118",1959.0,Female
218,347,"2011-07-28 17:36:00",35,"2011-07-28 17:41:00",22,B00032,Registered,"'02474",1977.0,Male
219,324,"2011-07-28 17:36:00",35,"2011-07-28 17:41:00",22,B00076,Registered,"'02474",1980.0,Female
220,713,"2011-07-28 17:39:00",25,"2011-07-28 17:51:00",33,B00379,Casual,"","",""
221,713,"2011-07-28 17:40:00",23,"2011-07-28 17:52:00",24,B00375,Casual,"","",""
222,900,"2011-07-28 17:40:00",23,"2011-07-28 17:55:00",25,B00407,Registered,"'02118",1978.0,Female
223,4549,"2011-07-28 17:41:00",41,"2011-07-28 18:57:00",33,B00585,Casual,"","",""
224,577,"2011-07-28 17:40:00",33,"2011-07-28 17:50:00",41,B00215,Registered,"'02115",1988.0,Male
225,1085,"2011-07-28 17:42:00",48,"2011-07-28 18:00:00",38,B00082,Casual,"","",""
226,4140,"2011-07-28 17:45:00",16,"2011-07-28 18:54:00",36,B00507,Casual,"","",""
227,1161,"2011-07-28 17:43:00",41,"2011-07-28 18:02:00",36,B00528,Registered,"'02134",1980.0,Male
228,1685,"2011-07-28 17:45:00",35,"2011-07-28 18:13:00",8,B00056,Casual,"","",""
